"전과별(1)",전과별(2),2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021
"전과별(1)",전과별(2),합계,합계,합계,성인,성인,성인,소년,소년,소년,미상,미상,미상,합계,합계,합계,성인,성인,성인,소년,소년,소년,미상,미상,미상,합계,합계,합계,성인,성인,성인,소년,소년,소년,미상,미상,미상,합계,합계,합계,성인,성인,성인,소년,소년,소년,미상,미상,미상,합계,합계,합계,성인,성인,성인,소년,소년,소년,미상,미상,미상,합계,합계,합계,성인,성인,성인,소년,소년,소년,미상,미상,미상,합계,합계,합계,성인,성인,성인,소년,소년,소년,미상,미상,미상,합계,합계,합계,성인,성인,성인,소년,소년,소년,미상,미상,미상
"전과별(1)",전과별(2),계,남,여,계,남,여,계,남,여,계,남,여,계,남,여,계,남,여,계,남,여,계,남,여,계,남,여,계,남,여,계,남,여,계,남,여,계,남,여,계,남,여,계,남,여,계,남,여,계,남,여,계,남,여,계,남,여,계,남,여,계,남,여,계,남,여,계,남,여,계,남,여,계,남,여,계,남,여,계,남,여,계,남,여,계,남,여,계,남,여,계,남,여,계,남,여
"합계",소계,1851907,1515159,336748,1771664,1447362,324302,77567,66087,11480,2676,1710,966,1913636,1559659,353977,1817851,1479382,338469,71034,60534,10500,24751,19743,5008,1989829,1621184,368645,1897586,1545530,352056,76000,63777,12223,16243,11877,4366,1835463,1485212,350251,1745409,1411717,333692,72754,59921,12833,17300,13574,3726,1721102,1376363,344739,1637836,1309027,328809,66135,53872,12263,17131,13464,3667,1728027,1365413,362614,1657231,1308672,348559,66243,54437,11806,4553,2304,2249,1612424,1273827,338597,1531774,1209389,322385,64478,53720,10758,16172,10718,5454,1343179,1054864,288315,1280346,1003103,277243,54017,44840,9177,8816,6921,1895
"전과있음",소계,852004,757808,94196,822336,731270,91066,29652,26522,3130,16,16,-,859383,764175,95208,829532,737259,92273,27055,24464,2591,2796,2452,344,897902,797947,99955,870718,773654,97064,26260,23484,2776,924,809,115,811574,717897,93677,786699,696043,90656,24040,21131,2909,835,723,112,731834,643616,88218,708555,623213,85342,22308,19556,2752,971,847,124,717521,627274,90247,695998,608319,87679,21457,18897,2560,66,58,8,672217,588270,83947,650410,568850,81560,21298,18982,2316,509,438,71,587870,511331,76539,571136,496555,74581,16356,14450,1906,378,326,52
"전과있음",1범,195644,157910,37734,185785,149454,36331,9853,8450,1403,6,6,-,195226,157055,38171,185510,148705,36805,8636,7439,1197,1080,911,169,202942,163058,39884,194245,155652,38593,8444,7200,1244,253,206,47,182965,145921,37044,174696,139066,35630,8039,6683,1356,230,172,58,162407,127803,34604,155006,121656,33350,7164,5958,1206,237,189,48,157741,122340,35401,151044,116816,34228,6681,5511,1170,16,13,3,144685,112434,32251,137939,106760,31179,6636,5587,1049,110,87,23,131212,101418,29794,126237,97261,28976,4886,4090,796,89,67,22
"전과있음",2범,136716,117044,19672,131470,112421,19049,5244,4621,623,2,2,-,135743,116179,19564,130741,111756,18985,4518,3997,521,484,426,58,140779,119939,20840,136128,115914,20214,4493,3889,604,158,136,22,127583,108083,19500,123245,104393,18852,4191,3565,626,147,125,22,112010,94298,17712,108172,91044,17128,3705,3148,557,133,106,27,108344,90279,18065,104976,87394,17582,3360,2877,483,8,8,-,99177,82638,16539,95717,79623,16094,3368,2936,432,92,79,13,88718,73643,15075,86049,71346,14703,2613,2249,364,56,48,8
"전과있음",3범,99444,88118,11326,96012,85033,10979,3429,3082,347,3,3,-,98900,87619,11281,95462,84473,10989,3110,2854,256,328,292,36,103318,91378,11940,100233,88621,11612,2978,2664,314,107,93,14,93608,82442,11166,90753,79929,10824,2773,2439,334,82,74,8,82778,72332,10446,80104,69973,10131,2554,2253,301,120,106,14,80636,69977,10659,78114,67772,10342,2517,2202,315,5,3,2,75319,65467,9852,72887,63319,9568,2362,2094,268,70,54,16,65441,56575,8866,63551,54928,8623,1846,1608,238,44,39,5
"전과있음",4범,74784,67614,7170,72455,65497,6958,2329,2117,212,-,-,-,75003,67824,7179,72713,65755,6958,2100,1904,196,190,165,25,77992,70517,7475,75882,68593,7289,2035,1858,177,75,66,9,70356,63465,6891,68494,61815,6679,1797,1591,206,65,59,6,62411,55711,6700,60533,54022,6511,1803,1621,182,75,68,7,60309,53655,6654,58702,52245,6457,1597,1402,195,10,8,2,56032,49771,6261,54419,48312,6107,1576,1427,149,37,32,5,48553,43058,5495,47348,41991,5357,1183,1046,137,22,21,1
"전과있음",5범,58323,53786,4537,56543,52125,4418,1778,1659,119,2,2,-,59087,54388,4699,57263,52713,4550,1645,1519,126,179,156,23,62226,57160,5066,60630,55726,4904,1551,1397,154,45,37,8,55104,50403,4701,53635,49043,4592,1424,1317,107,45,43,2,49320,44723,4597,47907,43450,4457,1356,1224,132,57,49,8,48570,43916,4654,47336,42811,4525,1228,1100,128,6,5,1,44913,40584,4329,43573,39363,4210,1309,1191,118,31,30,1,38731,34805,3926,37704,33900,3804,999,880,119,28,25,3
"전과있음",6범,45846,42753,3093,44457,41451,3006,1388,1301,87,1,1,-,46222,43039,3183,44823,41716,3107,1290,1222,68,109,101,8,48506,45177,3329,47304,44046,3258,1166,1097,69,36,34,2,43759,40550,3209,42586,39472,3114,1143,1050,93,30,28,2,38591,35651,2940,37538,34691,2847,1004,915,89,49,45,4,37416,34361,3055,36425,33449,2976,988,909,79,3,3,-,34911,31931,2980,33987,31076,2911,911,843,68,13,12,1,30066,27392,2674,29308,26693,2615,742,683,59,16,16,-
"전과있음",7범,35187,33030,2157,34157,32070,2087,1030,960,70,-,-,-,36048,33829,2219,35074,32898,2176,913,877,36,61,54,7,37986,35595,2391,36980,34644,2336,976,925,51,30,26,4,33549,31358,2191,32736,30583,2153,781,744,37,32,31,1,31311,29147,2164,30450,28353,2097,825,758,67,36,36,-,30450,28222,2228,29726,27552,2174,724,670,54,-,-,-,28836,26611,2225,28088,25922,2166,735,676,59,13,13,-,24690,22677,2013,24082,22117,1965,588,541,47,20,19,1
"전과있음",8범,28795,27287,1508,28026,26558,1468,768,728,40,1,1,-,29268,27658,1610,28403,26835,1568,799,762,37,66,61,5,30399,28763,1636,29655,28053,1602,709,679,30,35,31,4,27213,25660,1553,26560,25049,1511,629,590,39,24,21,3,24311,22806,1505,23665,22207,1458,609,564,45,37,35,2,23860,22315,1545,23252,21738,1514,604,573,31,4,4,-,22552,21023,1529,21934,20450,1484,595,553,42,23,20,3,19414,18039,1375,18886,17540,1346,516,490,26,12,9,3
"전과있음",9범이상,177265,170266,6999,173431,166661,6770,3833,3604,229,1,1,-,183886,176584,7302,179543,172408,7135,4044,3890,154,299,286,13,193754,186360,7394,189661,182405,7256,3908,3775,133,185,180,5,177437,170015,7422,173994,166693,7301,3263,3152,111,180,170,10,168695,161145,7550,165180,157817,7363,3288,3115,173,227,213,14,170195,162209,7986,166423,158542,7881,3758,3653,105,14,14,-,165792,157811,7981,161866,154025,7841,3806,3675,131,120,111,9,141045,133724,7321,137971,130779,7192,2983,2863,120,91,82,9
"전과없음/미상",소계,999903,757351,242552,949328,716092,233236,47915,39565,8350,2660,1694,966,1054253,795484,258769,988319,742123,246196,43979,36070,7909,21955,17291,4664,1091927,823237,268690,1026868,771876,254992,49740,40293,9447,15319,11068,4251,1023889,767315,256574,958710,715674,243036,48714,38790,9924,16465,12851,3614,989268,732747,256521,929281,685814,243467,43827,34316,9511,16160,12617,3543,1010506,738139,272367,961233,700353,260880,44786,35540,9246,4487,2246,2241,940207,685557,254650,881364,640539,240825,43180,34738,8442,15663,10280,5383,755309,543533,211776,709210,506548,202662,37661,30390,7271,8438,6595,1843
